,id,count
0,0.0,37164.31589
1,1.0,37028.74451
2,2.0,36957.55967
3,3.0,36819.63899
4,4.0,36865.19528
5,5.0,36685.0331
6,6.0,36889.15976
7,7.0,37422.39592
8,8.0,36736.63317
9,9.0,35936.8093
10,10.0,35381.97779
11,11.0,35398.62617
12,12.0,35256.91332
13,13.0,34664.50928
14,14.0,34412.95261
15,15.0,33904.50796
16,16.0,33632.23447
17,17.0,33247.20998
18,18.0,33124.95233
19,19.0,33467.05451
20,20.0,33113.8209
21,21.0,33445.28212
22,22.0,34075.44379
23,23.0,36760.71804
24,24.0,37117.90336
25,25.0,36727.67935
26,26.0,36608.97273
27,27.0,36588.77918
28,28.0,36640.42166
29,29.0,36544.1441
30,30.0,36398.3003
31,31.0,36435.06507
32,32.0,36354.88417
33,33.0,36080.98176
34,34.0,35652.58248
35,35.0,35781.62243
36,36.0,35382.19486
37,37.0,34988.65127
38,38.0,34287.84217
39,39.0,33991.19434
40,40.0,34031.63063
41,41.0,33721.04119
42,42.0,33660.02503
43,43.0,33465.43313
44,44.0,33451.41095
45,45.0,33620.78068
46,46.0,34244.63595
47,47.0,36731.81012
48,48.0,37196.92414
49,49.0,36821.43649
50,50.0,36685.2649
51,51.0,36671.39634
52,52.0,36646.23216
53,53.0,36494.0946
54,54.0,36568.98493
55,55.0,37397.48103
56,56.0,36475.18756
57,57.0,35620.15339
58,58.0,35512.01163
59,59.0,35248.04537
60,60.0,34899.96348
61,61.0,34684.38478
62,62.0,34534.75666
63,63.0,33957.50136
64,64.0,33841.50075
65,65.0,33680.10048
66,66.0,33777.3711
67,67.0,33807.61383
68,68.0,34077.68781
69,69.0,34238.95876
70,70.0,34922.44154
71,71.0,37743.85899
72,72.0,38338.39733
73,73.0,38081.54124
74,74.0,38090.14462
75,75.0,38021.45621
76,76.0,37985.6156
77,77.0,37938.59144
78,78.0,38127.41804
79,79.0,39480.05487
80,80.0,37415.42538
81,81.0,36319.55567
82,82.0,35650.47391
83,83.0,35682.42322
84,84.0,35169.1446
85,85.0,34533.10394
86,86.0,34123.94258
87,87.0,33216.36681
88,88.0,33394.27028
89,89.0,33349.6954
90,90.0,35594.93925
91,91.0,36040.28699
92,92.0,36257.11318
93,93.0,36513.74221
94,94.0,37060.17877
95,95.0,40476.68194
96,96.0,39826.22959
97,97.0,39724.53411
98,98.0,39697.30123
99,99.0,39592.77637
100,100.0,39822.4753
101,101.0,39603.00324
102,102.0,39927.57633
103,103.0,40924.93711
104,104.0,39488.55894
105,105.0,38638.80708
106,106.0,37775.3416
