id,count
0,37164.31589
1,37028.74451
2,36957.55967
3,36819.63899
4,36865.19528
5,36685.0331
6,36889.15976
7,37422.39592
8,36736.63317
9,35936.8093
10,35381.97779
11,35398.62617
12,35256.91332
13,34664.50928
14,34412.95261
15,33904.50796
16,33632.23447
17,33247.20998
18,33124.95233
19,33467.05451
20,33113.8209
21,33445.28212
22,34075.44379
23,36760.71804
24,37117.90336
25,36727.67935
26,36608.97273
27,36588.77918
28,36640.42166
29,36544.1441
30,36398.3003
31,36435.06507
32,36354.88417
33,36080.98176
34,35652.58248
35,35781.62243
36,35382.19486
37,34988.65127
38,34287.84217
39,33991.19434
40,34031.63063
41,33721.04119
42,33660.02503
43,33465.43313
44,33451.41095
45,33620.78068
46,34244.63595
47,36731.81012
48,37196.92414
49,36821.43649
50,36685.2649
51,36671.39634
52,36646.23216
53,36494.0946
54,36568.98493
55,37397.48103
56,36475.18756
57,35620.15339
58,35512.01163
59,35248.04537
60,34899.96348
61,34684.38478
62,34534.75666
63,33957.50136
64,33841.50075
65,33680.10048
66,33777.3711
67,33807.61383
68,34077.68781
69,34238.95876
70,34922.44154
71,37743.85899
72,38338.39733
73,38081.54124
74,38090.14462
75,38021.45621
76,37985.6156
77,37938.59144
78,38127.41804
79,39480.05487
80,37415.42538
81,36319.55567
82,35650.47391
83,35682.42322
84,35169.1446
85,34533.10394
86,34123.94258
87,33216.36681
88,33394.27028
89,33349.6954
90,35594.93925
91,36040.28699
92,36257.11318
93,36513.74221
94,37060.17877
95,40476.68194
96,39826.22959
97,39724.53411
98,39697.30123
99,39592.77637
100,39822.4753
101,39603.00324
102,39927.57633
103,40924.93711
104,39488.55894
105,38638.80708
106,37775.3416
107,37181.95785
108,37185.38476
109,36551.4431
110,36343.0713
111,35313.19392
112,35496.35643
113,35477.28017
114,35580.49402
115,35978.58345
116,36041.16265
117,36461.03446
118,37186.51842
119,39948.62428
120,39990.45321
121,39863.56031
122,39725.22186
123,39734.10812
124,39828.23878
125,39701.03894
126,40055.73182
127,41119.10303
128,39632.19232
129,38866.5344
130,37918.8314
131,37565.86159
132,37146.89669
133,36468.62883
134,36540.00297
135,35532.51615
136,35352.37077
137,34985.30764
138,35401.80272
139,35680.89009
140,35872.73823
141,36031.84826
142,36426.94482
143,39606.00409
144,39694.88479
145,39620.57833
146,39667.1286
147,39674.16438
148,39713.97068
149,39658.17377
150,39896.41278
151,41107.43205
152,39527.36585
153,38550.8928
154,37995.84886
155,37995.11696
156,37500.33417
157,36843.65982
158,36538.12611
159,35489.93844
160,35391.82732
161,35274.41275
162,35380.98901
163,35694.7443
164,35550.52894
165,36079.61646
166,36442.708
167,39433.70118
168,39591.77553
169,39383.03261
170,39312.81474
171,39431.52732
172,39616.15204
173,39501.04364
174,39434.76747
175,39972.80516
176,39408.65123
177,38681.02173
178,37969.43157
179,37863.38259
180,37360.48486
181,36526.93073
182,36118.11519
183,35451.3899
184,35324.70181
185,35122.89253
186,35003.96519
187,35115.48282
188,34824.54192
189,35111.28426
190,35436.29712
191,38191.73317
192,38752.91378
193,38521.20181
194,38507.63068
195,38577.26988
196,38661.73376
197,38527.90376
198,38442.86461
199,38411.77206
200,38367.30044
201,38213.73874
202,37838.72501
203,37689.42022
204,37087.36334
205,36754.79856
206,36430.78086
207,36197.1668
208,35876.12784
209,35440.95458
210,35370.62778
211,35360.67706
212,35179.88336
213,35257.044
214,35861.99813
215,38539.07897
216,39276.89616
217,39108.72915
218,39092.59644
219,39134.18536
220,39089.53338
221,39112.91616
222,39157.65565
223,40011.55315
224,38636.68719
225,37908.68252
226,37691.37126
227,37743.01059
228,37672.22126
229,37048.19625
230,36604.54745
231,36167.99806
232,35829.19431
233,35697.9854
234,35843.72696
235,36187.97809
236,36144.90925
237,36416.59683
238,36791.12531
239,39784.31393
