id,count
0,36421.02957
1,36288.16962
2,36218.40848
3,36083.24621
4,36127.89137
5,35951.33244
6,36151.37656
7,36673.948
8,36001.90051
9,35218.07311
10,34674.33823
11,34690.65365
12,34551.77505
13,33971.21909
14,33724.69356
15,33226.4178
16,32959.58978
17,32582.26578
18,32462.45328
19,32797.71342
20,32451.54448
21,32776.37648
22,33393.93491
23,36025.50368
24,36375.54529
25,35993.12576
26,35876.79328
27,35857.0036
28,35907.61323
29,35813.26122
30,35670.33429
31,35706.36377
32,35627.78649
33,35359.36212
34,34939.53083
35,35065.98998
36,34674.55096
37,34288.87824
38,33602.08533
39,33311.37045
40,33350.99802
41,33046.62037
42,32986.82453
43,32796.12447
44,32782.38273
45,32948.36507
46,33559.74323
47,35997.17392
48,36452.98566
49,36085.00776
50,35951.5596
51,35937.96841
52,35913.30752
53,35764.21271
54,35837.60523
55,36649.53141
56,35745.68381
57,34907.75032
58,34801.7714
59,34543.08446
60,34201.96421
61,33990.69708
62,33844.06153
63,33278.35133
64,33164.67074
65,33006.49847
66,33101.82368
67,33131.46155
68,33396.13405
69,33554.17958
70,34223.99271
71,36988.98181
72,37571.62938
73,37319.91042
74,37328.34173
75,37261.02709
76,37225.90329
77,37179.81961
78,37364.86968
79,38690.45377
80,36667.11687
81,35593.16456
82,34937.46443
83,34968.77476
84,34465.76171
85,33842.44186
86,33441.46373
87,32552.03947
88,32726.38487
89,32682.70149
90,34883.04046
91,35319.48125
92,35531.97092
93,35783.46737
94,36318.97519
95,39667.1483
96,39029.705
97,38930.04343
98,38903.35521
99,38800.92084
100,39026.02579
101,38810.94318
102,39129.0248
103,40106.43837
104,38698.78776
105,37866.03094
106,37019.83477
107,36438.31869
108,36441.67706
109,35820.41424
110,35616.20987
111,34606.93004
112,34786.4293
113,34767.73457
114,34868.88414
115,35259.01178
116,35320.3394
117,35731.81377
118,36442.78805
119,39149.65179
120,39190.64415
121,39066.2891
122,38930.71742
123,38939.42596
124,39031.674
125,38907.01816
126,39254.61718
127,40296.72097
128,38839.54847
129,38089.20371
130,37160.45477
131,36814.54436
132,36403.95876
133,35739.25625
134,35809.20291
135,34821.86583
136,34645.32335
137,34285.60149
138,34693.76667
139,34967.27229
140,35155.28347
141,35311.21129
142,35698.40592
143,38813.88401
144,38900.98709
145,38828.16676
146,38873.78603
147,38880.68109
